station_id,name,num_bicycles_available,last_reported
NBV:Station:660983,Neckarstadt-West - Riedfeldstraße,3,2026-05-24 22:50:45+02
NBV:Station:31471648,Almenhof August-Bebel-Park,4,2026-05-24 22:50:45+02
NBV:Station:195402059,Oststadt - Augusta Anlage,3,2026-05-24 22:50:45+02
NBV:Station:381679124,Jungbusch - Werftstraße,5,2026-05-24 22:50:45+02
NBV:Station:339349,Neumarkt,10,2026-05-24 22:50:45+02
NBV:Station:344836,Berliner Platz,15,2026-05-24 22:50:45+02
NBV:Station:378596231,Seckenheim - S-Bahnhof  Seckenheim-Hochstätt,4,2026-05-24 22:50:45+02
NBV:Station:24559076,Herzogenried - Sandgewann,3,2026-05-24 22:50:45+02
NBV:Station:339465,Kunsthalle,4,2026-05-24 22:50:45+02
NBV:Station:34525897,Roche - Tor 1,3,2026-05-24 22:50:45+02
NBV:Station:339466,G7 - Westliche Unterstadt,6,2026-05-24 22:50:45+02
NBV:Station:146888468,Feudenheim- Schelmenbuckel/Talstraße,2,2026-05-24 22:50:45+02
NBV:Station:146888993,Oststadt - Unterer Luisenpark,1,2026-05-24 22:50:45+02
NBV:Station:9214247,Mannheimer Straße,2,2026-05-24 22:50:45+02
NBV:Station:329696044,LU-Süd - Dürerplatz,1,2026-05-24 22:50:45+02
NBV:Station:38930150,Franklin -  George-Washington-Straße,1,2026-05-24 22:50:45+02
NBV:Station:57585097,S-Bahnhof Waldhof,7,2026-05-24 22:50:45+02
NBV:Station:329696289,LU-Hemshof Hartmannstraße / Rohrlachstraße,1,2026-05-24 22:50:45+02
NBV:Station:339462,R1 - Marktplatz,5,2026-05-24 22:50:45+02
NBV:Station:38930075,Franklin - Bensheimer Straße,5,2026-05-24 22:50:45+02
NBV:Station:339487,N5 - Kapuzinerplanken ,3,2026-05-24 22:50:45+02
NBV:Station:378596121,Seckenheim - Rathaus,1,2026-05-24 22:50:45+02
NBV:Station:344837,Rathaus,1,2026-05-24 22:50:45+02
NBV:Station:339461,Kongresszentrum Rosengarten,2,2026-05-24 22:50:45+02
NBV:Station:339350,Studentensiedlung Ludwig Frank,10,2026-05-24 22:50:45+02
NBV:Station:660974,MVV Hochhaus,5,2026-05-24 22:50:45+02
NBV:Station:660978,Neckarstadt-Ost  - Carl-Zuckmayer-Straße,13,2026-05-24 22:50:45+02
NBV:Station:344838,Pfalzbau,1,2026-05-24 22:50:45+02
NBV:Station:33282192,G1 – Marktplatz,4,2026-05-24 22:18:57+02
NBV:Station:28450544,Schwetzingerstadt - Krappmühlstraße,2,2026-05-24 22:18:57+02
NBV:Station:378595742,Feudenheim - Endstelle / Odenwald Straße,16,2026-05-24 22:18:57+02
NBV:Station:378595589,Feudenheim - St. Peter & Paul Kirche,14,2026-05-24 22:18:57+02
NBV:Station:27231009,Neckarau - Friedrichstraße,13,2026-05-24 22:18:57+02
NBV:Station:33776080,Gerd-Dehof-Platz,5,2026-05-24 22:18:57+02
NBV:Station:329695899,LU-Mitte - Benckiser Straße,2,2026-05-24 22:18:57+02
NBV:Station:30612225,Wohlgelegen - Ludolf-Krehl-Straße,2,2026-05-24 22:18:57+02
NBV:Station:378596026,Seckenheim - Wasserturm / Kapellenplatz,7,2026-05-24 22:18:57+02
NBV:Station:27230871,Neckarstadt-Ost - Herzogenriedpark,5,2026-05-24 22:18:57+02
NBV:Station:339485,Schwetzingerstadt - Pestalozzischule,2,2026-05-24 22:18:57+02
NBV:Station:5582461,Oststadt Karl-Ludwig-Straße,3,2026-05-24 22:18:57+02
NBV:Station:339343,Neckarstadt - Alter Messplatz,6,2026-05-24 22:18:57+02
NBV:Station:498226541,Turley - Heinrich-Wittkamp-Straße,8,2026-05-24 22:18:57+02
NBV:Station:339475,Hauptbahnhof Mannheim,3,2026-05-24 22:18:57+02
NBV:Station:260511632,Waldhof -  Waldstraße / Hermann-Gutzmann-Schule,5,2026-05-24 22:18:57+02
NBV:Station:339354,K1 - Kurpfalzbrücke,13,2026-05-24 22:18:57+02
NBV:Station:393329858,Franklin - Wasserwerkstraße,3,2026-05-24 22:18:57+02
NBV:Station:30612240,Neckarstadt-West – Marchivum,7,2026-05-24 22:18:57+02
NBV:Station:3938985,Pfalzgrafenplatz,5,2026-05-24 22:18:57+02
NBV:Station:364019650,Lindenhofplatz / HBF Süd,21,2026-05-24 22:18:57+02
NBV:Station:30612231,Neckarstadt-West – Gartenfeldstraße,2,2026-05-24 22:18:57+02
NBV:Station:339478,Technische Hochschule Mannheim,2,2026-05-24 22:18:57+02
NBV:Station:339476,Jungbusch - Jungbuschstraße,19,2026-05-24 22:18:57+02
NBV:Station:28450647,Schwetzingerstadt - Richard-Wagner-Straße,8,2026-05-24 22:18:57+02
NBV:Station:339346,Neckarstadt-Ost - Lange Rötterstraße,3,2026-05-24 22:18:57+02
