vehicle_id,feed_id,last_reported,geometry
DOG:Vehicle:c991b572-4e7b-4b9d-9c29-4eac0d6bfa3d,dott_mannheim,2026-05-21 15:28:57+02,POINT (8.482008 49.493761)
DOG:Vehicle:fa41b1ee-eaef-4984-ad1f-58b5dcc519f2,dott_mannheim,2026-05-21 15:29:20+02,POINT (8.439892 49.484585)
DOG:Vehicle:a090074e-caf4-428c-9e5c-7617a45639b4,dott_mannheim,2026-05-21 15:29:32+02,POINT (8.494243 49.511501)
DOG:Vehicle:18b6f0ea-7039-4b98-9a25-8077e4ac3351,dott_mannheim,2026-05-21 15:29:34+02,POINT (8.485949 49.505763)
DOG:Vehicle:3f203d9b-5bfe-404b-8b61-bef785e1d20d,dott_mannheim,2026-05-21 15:29:38+02,POINT (8.46184 49.487658)
DOG:Vehicle:9a52aa98-2f33-485c-bfd7-bdb67f9443f6,dott_mannheim,2026-05-21 15:29:43+02,POINT (8.462294 49.502163)
DOG:Vehicle:a00e33ec-749c-4695-864b-e6ecc060ceca,dott_mannheim,2026-05-21 15:29:45+02,POINT (8.499372 49.500966)
DOG:Vehicle:695a7f6d-f1a8-4d30-9cb1-41a809083521,dott_mannheim,2026-05-21 15:29:55+02,POINT (8.487773 49.480474)
DOG:Vehicle:39b2a520-3869-42a5-b786-d962a4fa9e9c,dott_mannheim,2026-05-21 15:30:07+02,POINT (8.504938 49.521864)
DOG:Vehicle:9382194d-8cad-4e57-abd4-e2d43e6e8728,dott_mannheim,2026-05-21 15:30:17+02,POINT (8.480633 49.475895)
DOG:Vehicle:55a99e48-e015-46c9-bf63-c816a12051a2,dott_mannheim,2026-05-21 15:30:19+02,POINT (8.520449 49.512152)
DOG:Vehicle:5202e41f-b582-4b30-8bab-1769bd57ae55,dott_mannheim,2026-05-21 15:30:20+02,POINT (8.486936 49.484464)
DOG:Vehicle:13d5bc93-4805-4440-8507-2e21aa54f9c9,dott_mannheim,2026-05-21 15:30:26+02,POINT (8.462914 49.484811)
DOG:Vehicle:4ba53fc5-e694-4504-97dd-432e9d23aeb4,dott_mannheim,2026-05-21 15:30:29+02,POINT (8.473549 49.534002)
DOG:Vehicle:c4142c17-8c2a-46ed-8365-817ba7033505,dott_mannheim,2026-05-21 15:30:35+02,POINT (8.440871 49.487046)
DOG:Vehicle:db3ededf-fd6c-4c56-b8d3-79a716d7f5db,dott_mannheim,2026-05-21 15:30:35+02,POINT (8.531405 49.447013)
DOG:Vehicle:6ce0f3d3-9880-47e1-a9ea-467c38fa110e,dott_mannheim,2026-05-21 15:30:39+02,POINT (8.487891 49.477483)
DOG:Vehicle:1ad5a1c4-b3a8-4f88-a5e2-434ea5b7e3dc,dott_mannheim,2026-05-21 15:30:56+02,POINT (8.487066 49.479488)
